10000 15 0.2 100
0 -93.636360 -24.545454 -36.000000 -94.090912
1 -2.090909 -73.909088 -38.909092 -54.363636
2 -39.727272 -37.727272 -28.545454 -92.727272
3 -76.545456 -94.636360 -51.181820 -77.727272
4 -54.636364 -48.090908 -56.727272 -58.818180
5 -27.727272 -72.727272 -97.000000 -4.636364
6 -95.363640 -70.454544 -59.090908 -27.909090
7 -34.818180 -33.272728 -60.000000 -14.545455
8 -43.909092 -82.090912 -94.818184 -46.000000
9 -56.000000 -33.727272 -86.545456 -95.636360
10 -71.454544 -1.181818 -74.545456 -34.090908
11 -82.000000 -11.909091 -11.818182 -36.545456
12 -46.090908 -68.545456 -81.545456 -73.818184
13 -27.363636 -78.545456 -78.363640 -22.727272
14 -35.181820 -23.636364 -36.818180 -56.181820
15 -56.818180 -96.818184 -70.727272 -86.909088
16 -78.909088 -51.636364 -32.909092 -21.000000
17 -85.363640 -5.545455 -16.636364 -42.909092
18 -6.727273 -77.363640 -77.000000 -88.727272
19 -89.181816 -75.000000 -25.272728 -35.272728
20 -29.636364 -6.818182 -95.272728 -57.000000
21 -71.545456 -59.818180 -65.909088 -6.727273
22 -83.363640 -2.727273 -49.000000 -26.363636
23 -85.727272 -5.909091 -13.272727 -64.545456
24 -57.545456 -46.181820 -85.545456 -29.000000
25 -51.727272 -88.363640 -71.909088 -44.636364
26 -51.909092 -35.090908 -33.272728 -41.090908
27 -96.272728 -44.727272 -62.545456 -25.909090
28 -37.636364 -43.909092 -82.909088 -9.181818
29 -3.727273 -48.818180 -2.000000 -87.090912
30 -37.727272 -37.181820 -13.454545 -23.363636
31 -43.090908 -26.727272 -74.090912 -0.545455
32 -59.000000 -59.636364 -29.545454 -96.909088
33 -34.181820 -87.636360 -41.454544 -86.090912
34 -22.727272 -74.727272 -13.272727 -5.181818
35 -19.454546 -62.000000 -31.000000 -57.090908
36 -5.909091 -0.090909 -52.363636 -9.545455
37 -35.000000 -40.545456 -82.818184 -72.727272
38 -77.727272 -96.181816 -96.090912 -20.818182
39 -9.090909 -70.181816 -7.545455 -68.090912
40 -16.000000 -37.090908 -51.090908 -36.363636
41 -10.909091 -92.545456 -22.363636 -19.818182
